flood_id,dateTimeMin,dateTimeMax,dateTimeMed,maxWaterLevel,meanWaterLevel,flood_time_hours
54,2003-11-19T16:42:00Z,2003-11-19T20:24:00Z,2003-11-19T18:33:00Z,0.374,0.35078947368421054,3.6999999999999997
55,2003-11-19T20:42:00Z,2003-11-19T21:24:00Z,2003-11-19T21:03:00Z,0.357,0.326125,0.7
56,2003-11-19T22:06:00Z,2003-11-19T23:12:00Z,2003-11-19T22:39:00Z,0.319,0.30374999999999996,1.1
57,2003-11-19T23:36:00Z,2003-11-20T06:42:00Z,2003-11-20T03:09:00Z,0.413,0.3517638888888889,7.1
58,2003-11-24T20:24:00Z,2003-11-25T00:30:00Z,2003-11-24T22:27:00Z,0.437,0.3917857142857143,4.1
59,2003-11-25T00:54:00Z,2003-11-25T01:06:00Z,2003-11-25T01:00:00Z,0.322,0.31066666666666665,0.2
60,2003-12-09T22:36:00Z,2003-12-09T22:54:00Z,2003-12-09T22:45:00Z,0.293,0.29225,0.3
61,2003-12-11T06:42:00Z,2003-12-11T15:24:00Z,2003-12-11T11:03:00Z,0.516,0.4203068181818182,8.7
62,2003-12-14T22:48:00Z,2003-12-15T05:06:00Z,2003-12-15T01:57:00Z,0.423,0.3674375,6.3
63,2004-03-12T11:42:00Z,2004-03-12T15:12:00Z,2004-03-12T13:27:00Z,0.363,0.32975,3.5
64,2004-03-20T21:00:00Z,2004-03-21T00:30:00Z,2004-03-20T22:45:00Z,0.358,0.3337222222222222,3.5
65,2004-06-02T08:36:00Z,2004-06-02T09:42:00Z,2004-06-02T09:09:00Z,0.303,0.29733333333333334,1.1
66,2004-06-05T12:18:00Z,2004-06-05T12:36:00Z,2004-06-05T12:27:00Z,0.294,0.2925,0.3
68,2004-06-05T13:06:00Z,2004-06-05T13:18:00Z,2004-06-05T13:12:00Z,0.296,0.29533333333333334,0.2
69,2004-07-27T05:12:00Z,2004-07-27T06:18:00Z,2004-07-27T05:45:00Z,0.302,0.2975,1.1
70,2004-07-28T05:36:00Z,2004-07-28T07:00:00Z,2004-07-28T06:18:00Z,0.328,0.30946666666666667,1.4
